	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
YAL001C	0.68	-0.02	-0.1	0.84	0.06	-1.8	0.18	0.58	0.22	0.5	-0.06	-0.09	0.15	0.71	0.15	-0.14	-0.21	0.37	0.9	0.23	-0.17	0.3	0.02	-0.04	-0.46	0.33	-0.67	0.26	0.36	0.6	-0.11	-0.06
YAL002W	-0.62	-0.75	-0.08	0.23	-0.3	0.22	-0.04	0.23	-0.04	-0.45	-0.3	0.03	0.1	-0.18	1.68	-0.11	-0.14	0.29	0.2	0.18	-1.81	-0.46	-0.45	0.81	-0.38	0.22	-1.12	0.48	0.54	-0.17	-0.86	-0.47
YAL003W	-0.3	0.7	0.86	0.93	-0.25	0.86	-0.84	-0.25	0.62	-0.74	-0.07	-0.64	0.01	-0.29	1.06	-0.45	-0.64	-1.43	0	-0.53859	-0.073092	1.54	0.29	-1.79	-0.58	-1.6	-2.74	0.67	-0.56292	-0.3	-1.56	-0.81
YAL005C	-0.04	0.37	-0.86	0.9	-0.97	-0.14	-1.36	0.20731	0.24	0.14234	3.34	-0.67	-0.18	0.12973	0.86	-0.58	-0.22	-0.74	0	0.033521	-0.79	-1.69	0.7	0.93	-0.56	-0.81	-1.6	0.41	0.042179	0.13196	-0.12	-0.1
YAL007C	0.49	0.01	0.33	0.1	-0.22	0.19	-0.38	-0.29	-0.03	-0.42	-0.12	-0.23	-0.15	-0.36	0.25	-0.29	0.77	-0.3	-0.29	0.33	0.67	0.86	0.45	2.05	-0.32	-0.42	-0.47	0.25	0.3	-0.56	0.36	1.04
YAL008W	-0.07	0.04	-0.15	0.41	-0.42	0.21	-0.01	0.69	0.58	0	0.25	0.01	0.26	0.46	0.61	0.04	0.56	0.25	0.86	0.48208	-1.12	0.25	0.14	-0.42	-0.51	0.23	-1.51	-1.29	0.49092	0.11	0.14	-0.3
YAL009W	-0.27	-0.68	0.21	0.11	0.02	-0.04	-0.13	0.18	-0.3	0.23	0.05	-0.01	0.64	-0.54	0.58	-0.14	0	-0.01	0.05	-0.18	-1.34	-0.43	-0.22	-0.09	-0.46	-0.1	-1.69	-0.69	0.32	-0.15	-0.48	-0.36
YAL010C	0.2	0.19	0.44	0.43	-0.14	0.14	0.18	0.33	0.37	-0.49	-0.23	-0.25	-0.04	1.69	0.73	-0.23	0.29	0.26	0.45	0.16477	0.57	-0.58	-0.01	1.81	-0.47	0.39	-1.09	0.04	0.17528	-0.38	-0.38	-0.22
YAL011W	-0.09	0.25	0.04	0.51	-0.04	0.3	0.2	0	0.44	-0.32	-0.12	-0.088298	-0.090395	-0.62	0.34	-0.093104	-0.42	-0.06	-0.6	0.3	-1.29	0.77	-0.42	-0.01	-0.098606	-0.23	-1.12	0.26	-0.04	-0.64	-0.43	-0.12145
YAL012W	-0.03	0.84	0.44	0.77	0.04	-0.06	0.32	0.18	0.97	-0.97	0.03	-0.2	0.08	-0.4	1.33	-0.23	0.36	1.62	-0.29	-0.18873	-1.84	1.04	0.7	-0.2	-0.42	1.94	-1.4	-0.79	-0.19147	-1.4	-0.34	-0.17
YAL014C	-0.06	0.19	0.15	0.28	-0.58	0.6	-0.45	0.28	0.29	0.11	-0.07	-0.18	-0.43	0.7	0.31	-0.6	0.54	0.28	0.32	0.4	1.5	0.53	0.28	-0.45	-0.64	-0.01	-0.54	-0.15	0.19	-0.42	0.07	0.07
YAL015C	0.08	-0.2	-0.45	-0.06	-0.14	-0.92	0.01	0.77	-0.04	0.31	0.58	-0.29	-0.45	0.32	-0.07	-0.49	0.44	0.56	0.15	0.32	-0.29	-0.67	0.37	0.7	-0.58	0.37	-0.69	-0.84	0.33	-0.12	-0.23	0.32
YAL016W	-0.07	0.11	-0.04	0.56	-0.71	0.65	-0.47	0.75	0.54	0.44	0.04	-0.23	-0.32	0.52	0.52	-0.38	0.63	0.11	0.8	0.34	0.11	0.18	0.57	0.54	-0.6	-0.12	-0.84	0.53	0.63	0.15	-0.06	0.11
YAL017W	0.71	-0.1	0.66	0.66	-0.13	-1	-0.05	0.95	-0.27	0.42	0.31	0.04	0.37	0.67	0.31	0.01	-0.01	0.44	0.66	0.44	-0.08	-0.12	0.05	1.31	-0.26	0.37	-0.47	-0.2	0.78	0.41	0.42	-0.01
YAL018C	-0.1	-0.47	0.14	0.6	-0.54	-2.32	-0.18	0.15	-0.14	-0.42	-0.15	-0.07	-0.29	-1.51	0.12	-0.49	-0.32	0.23	0.36	0.51	5.39	0.062261	-0.04	-0.89	-0.51	-0.3	-0.89	-0.0081311	0.53	-0.3	-0.42	-0.01
YAL019W	-0.92	-0.93	0.09	0.32	-0.21	0.3	-0.24	-0.92	0.38	-0.64	-0.12	-0.26	-0.33	-0.56	0.8	-0.52	-0.01	-0.31	-0.42	0.15	0.04	-0.12	-0.29	0.24	-0.51	-1.2	-1.09	0.52	-0.08	-0.81	-1.02	-0.53
