goid	go_term	go_aspect	go_definition
GO:0000015	phosphopyruvate hydratase complex	C	A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water.
GO:0000054	ribosomal subunit export from nucleus	P	The directed movement of a ribosomal subunit from the nucleus into the cytoplasm.
GO:0000110	nucleotide-excision repair factor 1 complex	C	One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and endodeoxynuclease activities. In S. cerevisiae, it is composed of Rad1p, Rad10p, and Rad14p; in human the subunits are ERCC4/XPF, ERCC1 and XPA, respectively.
GO:0000111	nucleotide-excision repair factor 2 complex	C	One of several protein complexes involved in nucleotide-excision repair; possesses damaged DNA binding activity. In S. cerevisiae, it is composed of Rad4p and Rad23p.
GO:0000112	nucleotide-excision repair factor 3 complex	C	One of several protein complexes involved in nucleotide-excision repair; possesses endodeoxynuclease and DNA helicase activities. In S. cerevisiae, it is composed of Rad2p and the core TFIIH-Ssl2p complex (core TFIIH is composed of Rad3p, Tfb1p, Tfb2p, Ssl1p, Tfb4p and Tfb5p. Note that Ssl2p is also called Rad25p).
GO:0000113	nucleotide-excision repair factor 4 complex	C	One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and DNA-dependent ATPase activities. In S. cerevisiae, it is composed of Rad7p and Rad16p.
GO:0000118	histone deacetylase complex	C	A protein complex that possesses histone deacetylase activity.
GO:0000120	RNA polymerase I transcription factor complex	C	A transcription factor complex that acts at promoters of genes transcribed by RNA polymerase I.
GO:0000123	histone acetyltransferase complex	C	A protein complex that possesses histone acetyltransferase activity.
GO:0000124	SAGA complex	C	A SAGA-type histone acetyltransferase complex that contains Spt8 (in budding yeast) or a homolog thereof; additional polypeptides include Spt group, consisting of Spt7, Spt3, and Spt20/Ada5, which interact with the TATA-binding protein (TBP); the Ada group, consisting of Ada1, Ada2, Ada3, Ada4/Gcn5, and Ada5/Spt20, which is functionally linked to the nucleosomal HAT activity; Tra1, an ATM/PI-3 kinase-related protein that targets DNA-bound activators for recruitment to promoters; the TBP-associated factor (TAF) proteins, consisting of Taf5, Taf6, Taf9, Taf10, and Taf12, which mediate nucleosomal HAT activity and are thought to help recruit the basal transcription machinery.
GO:0000126	transcription factor TFIIIB complex	C	A transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIB contains the TATA-binding protein (TBP) and two Pol III-specific proteins, B'' and BRF.
GO:0000127	transcription factor TFIIIC complex	C	A heterotrimeric transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIC contains three conserved subunits that associate with the proximal Pol III promoter element, and additional subunits that associate with sequence elements downstream of the promoter and are more diverged among species. It also functions as a boundary element to partition genome content into distinct domains outside Pol III promoter regions.
GO:0000133	polarisome	C	Protein complex that plays a role in determining cell polarity by directing the localized assembly of actin filaments at polarization sites; in Saccharomyces the polarisome includes Bni1p, Spa2p, Pea2p, and Bud6p.
GO:0000136	alpha-1,6-mannosyltransferase complex	C	A large, multiprotein complex with alpha-(1->6)-mannosyltransferase activity, located in the cis Golgi membrane; adds mannan to N-linked glycans on proteins.
GO:0000145	exocyst	C	A protein complex peripherally associated with the plasma membrane that determines where vesicles dock and fuse. At least eight complex components are conserved between yeast and mammals.
GO:0000148	1,3-beta-D-glucan synthase complex	C	A protein complex that catalyzes the transfer of a glucose group from UDP-glucose to a (1->3)-beta-D-glucan chain.
GO:0000151	ubiquitin ligase complex	C	A protein complex that includes a ubiquitin-protein ligase and other proteins that may confer substrate specificity on the complex.
GO:0000159	protein phosphatase type 2A complex	C	A protein complex that has protein serine/threonine phosphatase activity that is polycation-stimulated (PCS), being directly stimulated by protamine, polylysine, or histone H1; it constitutes a subclass of several enzymes activated by different histones and polylysine, and consists of catalytic, scaffolding, and regulatory subunits. The catalytic and scaffolding subunits form the core enzyme, and the holoenzyme also includes the regulatory subunit.
GO:0000164	protein phosphatase type 1 complex	C	A protein complex that possesses magnesium-dependent protein serine/threonine phosphatase (AMD phosphatase) activity, and consists of a catalytic subunit and one or more regulatory subunits that dictates the phosphatase's substrate specificity, function, and activity.
GO:0000172	ribonuclease MRP complex	C	A ribonucleoprotein complex that contains an RNA molecule of the snoRNA family, and cleaves the rRNA precursor as part of rRNA transcript processing. It also has other roles: In S. cerevisiae it is involved in cell cycle-regulated degradation of daughter cell-specific mRNAs, while in mammalian cells it also enters the mitochondria and processes RNAs to create RNA primers for DNA replication.
GO:0000176	nuclear exosome (RNase complex)	C	Complex of 3'-5' exoribonucleases found in the nucleus.
GO:0000177	cytoplasmic exosome (RNase complex)	C	Complex of 3'-5' exoribonucleases found in the cytoplasm.
GO:0000178	exosome (RNase complex)	C	Complex of 3'-5' exoribonucleases.
GO:0000214	tRNA-intron endonuclease complex	C	A protein complex that catalyzes the endonucleolytic cleavage of pre-tRNA, producing 5'-hydroxyl and 2',3'-cyclic phosphate termini, and specifically removing the intron.
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	C	The V0 domain of a proton-transporting V-type ATPase found in the vacuolar membrane.
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	C	The V1 domain of a proton-transporting V-type ATPase found in the vacuolar membrane.
GO:0000235	astral microtubule	C	Any of the spindle microtubules that radiate in all directions from the spindle poles and are thought to contribute to the forces that separate the poles and position them in relation to the rest of the cell.
GO:0000243	commitment complex	C	A spliceosomal complex that is formed by association of the U1 snRNP with the 5' splice site of an unspliced intron in an RNA transcript.
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk	C	One of two stalks that connect the catalytic core of the hydrogen-transporting ATP synthase to the mitochondrial membrane-associated F0 proteins; is thought to prevent futile rotation of the catalytic core.
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	C	All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins.
GO:0000278	mitotic cell cycle	P	Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent.
