systematic_name	goid
YAL001C	GO:0005694
YAL001C	GO:0005737
YAL001C	GO:0005739
YAL001C	GO:0000799
YAL001C	GO:0005634
YAL001C	GO:0000127
YAL001C	GO:0005667
YAL001C	GO:0003677
YAL001C	GO:0001071
YAL001C	GO:0000988
YAL001C	GO:0006383
YAL002W	GO:0033263
YAL002W	GO:0005737
YAL002W	GO:0012505
YAL002W	GO:0016020
YAL002W	GO:0019899
YAL002W	GO:0016197
YAL002W	GO:0006605
YAL003W	GO:0005737
YAL003W	GO:0005853
YAL003W	GO:0005085
YAL003W	GO:0007010
YAL003W	GO:0033043
YAL003W	GO:0006417
YAL003W	GO:0006414
YAL005C	GO:0005618
YAL005C	GO:0005832
YAL005C	GO:0005737
YAL005C	GO:0016020
YAL005C	GO:0005634
YAL005C	GO:0005886
YAL005C	GO:0005844
YAL005C	GO:0030529
YAL005C	GO:0005773
YAL005C	GO:0016887
YAL005C	GO:0016787
YAL005C	GO:0051082
YAL005C	GO:0002181
YAL005C	GO:0007005
YAL005C	GO:0051169
YAL005C	GO:0006457
YAL005C	GO:0006605
YAL005C	GO:0055085
YAL007C	GO:0005737
YAL007C	GO:0016023
YAL007C	GO:0012505
YAL007C	GO:0003674
YAL007C	GO:0048193
YAL008W	GO:0005737
YAL008W	GO:0016020
YAL008W	GO:0005740
YAL008W	GO:0005739
YAL008W	GO:0003674
YAL008W	GO:0008150
YAL009W	GO:0071595
YAL009W	GO:0012505
YAL009W	GO:0016020
YAL009W	GO:0016787
YAL009W	GO:0016791
YAL009W	GO:0006629
YAL009W	GO:0006997
YAL010C	GO:0032865
YAL010C	GO:0005737
YAL010C	GO:0012505
YAL010C	GO:0005783
YAL010C	GO:0016020
YAL010C	GO:0005740
YAL010C	GO:0001401
YAL010C	GO:0005739
YAL010C	GO:0003674
YAL010C	GO:0006811
YAL010C	GO:0006869
YAL010C	GO:0007005
YAL010C	GO:0070271
YAL010C	GO:0006605
YAL010C	GO:0055085
YAL011W	GO:0000812
YAL011W	GO:0005694
YAL011W	GO:0005737
YAL011W	GO:0005739
YAL011W	GO:0005634
YAL011W	GO:0003674
YAL011W	GO:0006325
YAL012W	GO:0005737
YAL012W	GO:0005634
YAL012W	GO:0016829
YAL012W	GO:0006520
YAL014C	GO:0005737
YAL014C	GO:0012505
YAL015C	GO:0005737
YAL015C	GO:0005739
YAL015C	GO:0005634
YAL015C	GO:0016787
YAL015C	GO:0016798
YAL015C	GO:0016829
YAL015C	GO:0004518
YAL015C	GO:0006281
YAL015C	GO:0006260
YAL015C	GO:0006974
YAL015C	GO:0007005
YAL015C	GO:0051052
YAL015C	GO:0033043
YAL015C	GO:0042221
YAL015C	GO:0006979
YAL016W	GO:0005933
YAL016W	GO:0005737
YAL016W	GO:0005856
YAL016W	GO:0005815
YAL016W	GO:0005634
YAL016W	GO:0000159
YAL016W	GO:0030427
YAL016W	GO:0005819
YAL016W	GO:0000922
YAL016W	GO:0005816
YAL016W	GO:0016787
YAL016W	GO:0016791
YAL016W	GO:0000278
YAL016W	GO:0048285
YAL016W	GO:0051726
YAL016W	GO:0033043
YAL016W	GO:0006417
YAL017W	GO:0005737
YAL017W	GO:0016301
YAL017W	GO:0016740
YAL017W	GO:0005975
YAL017W	GO:0006091
YAL017W	GO:0006468
YAL018C	GO:0005618
YAL018C	GO:0016020
YAL018C	GO:0003674
YAL018C	GO:0071554
YAL018C	GO:0051321
YAL018C	GO:0043934
YAL019W	GO:0005694
YAL019W	GO:0000775
YAL019W	GO:0005737
YAL019W	GO:0005739
YAL019W	GO:0005634
YAL019W	GO:0016887
YAL019W	GO:0003677
YAL019W	GO:0003682
YAL019W	GO:0016787
YAL019W	GO:0006281
YAL019W	GO:0006974
YAL019W	GO:0006325
YAL020C	GO:0005737
YAL020C	GO:0003674
YAL020C	GO:0009451
YAL020C	GO:0007114
YAL020C	GO:0007010
YAL020C	GO:0008033
YAL021C	GO:0030014
YAL021C	GO:0030015
YAL021C	GO:0016593
YAL021C	GO:0016591
YAL021C	GO:0005737
YAL021C	GO:0000932
YAL021C	GO:0005634
YAL021C	GO:0030529
YAL021C	GO:0008023
YAL021C	GO:0016787
YAL021C	GO:0004518
YAL021C	GO:0006260
YAL021C	GO:0006354
YAL021C	GO:0006401
YAL021C	GO:0006397
YAL021C	GO:0000278
YAL021C	GO:0051052
YAL021C	GO:0051726
YAL021C	GO:0006366
YAL022C	GO:0005737
YAL022C	GO:0016020
YAL022C	GO:0005773
YAL022C	GO:0022857
YAL022C	GO:0015931
YAL022C	GO:0055085
YAL023C	GO:0005737
YAL023C	GO:0097582
YAL023C	GO:0097584
YAL023C	GO:0031502
YAL023C	GO:0012505
YAL023C	GO:0005783
YAL023C	GO:0031501
YAL023C	GO:0016020
YAL023C	GO:0016740
YAL023C	GO:0016757
YAL023C	GO:0005975
YAL023C	GO:0006486
